公司名称,日期,开盘价,最高价,最低价,收盘价,成交量(股),成交额(港元),换手率(%),涨跌额,涨跌幅(%),市盈率(PE),价销比(PS),市现率(PCF),总市值,前收盘价,涨跌幅
长和,2025-01-02,39.9074,40.1006,39.3276,39.6658,4164402,170658280.5,0.11,-0.4331,-0.010842730532710343,6.9886,0.5642,2.9547,157223326725.0,40.1006,-0.43480000000000274
长和,2025-01-03,40.004,40.149,39.5209,39.7625,2627730,108033904.55,0.07,0.0952,0.0024378683904020537,7.0057,0.5656,2.9619,157606331175.0,39.6658,0.09670000000000556
长和,2025-01-06,40.0523,40.3905,39.5692,39.9074,3892729,160524878.6,0.1,0.1432,0.0036441370638164994,7.0312,0.5677,2.9727,158180837850.0,39.7625,0.1448999999999998
长和,2025-01-07,40.004,40.2939,39.2793,39.6658,4598793,188833658.0,0.12,-0.2434,-0.006054015044828942,6.9886,0.5642,2.9547,157223326725.0,39.9074,-0.24160000000000537
长和,2025-01-08,39.6175,39.7141,39.0377,39.1827,5808409,236128549.0,0.15,-0.4839,-0.01217925769806738,6.9035,0.5574,2.9187,155308304475.0,39.6658,-0.4831000000000003
长和,2025-01-09,39.1827,39.3759,38.9894,39.1344,3060041,124046373.45,0.08,-0.047,-0.0012326868745644592,6.895,0.5567,2.9151,155116802250.0,39.1827,-0.04829999999999757
长和,2025-01-10,39.1344,39.5209,38.7479,38.9894,4607674,185886332.85,0.12,-0.1448,-0.0037051800973055826,6.8695,0.5546,2.9043,154542295575.0,39.1344,-0.14499999999999602
长和,2025-01-13,38.6995,38.6995,37.9748,38.458,4876407,193686326.25,0.13,-0.5302,-0.01362934541183003,6.7758,0.5471,2.8647,152435771100.0,38.9894,-0.531400000000005
长和,2025-01-14,38.313,38.5546,38.0231,38.458,7959404,315858763.8,0.21,0.0,0.0,6.7758,0.5471,2.8647,152435771100.0,38.458,0.0
长和,2025-01-15,38.2164,38.6512,38.2164,38.6029,3820469,152312835.85,0.1,0.1461,0.0037677466326901943,6.8014,0.5491,2.8755,153010277775.0,38.458,0.1448999999999998
长和,2025-01-16,38.458,38.7962,38.2164,38.313,5249583,208772313.995,0.14,-0.2895,-0.0075097984866421275,6.7503,0.545,2.8539,151861264425.0,38.6029,-0.2898999999999958
